feature,frequency,rank,docfreq,group
pleas_contact,79,419,79,all
home_depot,79,420,79,all
old_one,79,421,79,all
yes_know,79,422,79,all
yes_yes,79,423,52,all
much_better,79,424,79,all
minut_add,79,425,79,all
went_home,79,426,79,all
plan_call,79,427,79,all
game_toronto,79,428,79,all
two_day,78,429,78,all
realli_pretti,78,430,78,all
next_month,78,431,78,all
just_tri,78,432,78,all
april_fool,78,433,78,all
take_back,78,434,78,all
two_men,78,435,78,all
get_best,78,436,78,all
ny_giant,77,437,77,all
peopl_know,77,438,77,all
just_tweet,77,439,77,all
far_away,77,440,77,all
bloodi_mari,77,441,77,all
long_last,77,442,77,all
mani_time,77,443,77,all
get_right,77,444,77,all
work_done,77,445,59,all
need_hit,77,446,77,all
born_just,77,447,77,all
peopl_see,77,448,77,all
next_day,77,449,77,all
one_two,77,450,77,all
p.m_sunday,77,451,77,all
new_song,76,452,76,all
also_good,76,453,76,all
santa_fe,76,454,76,all
star_weekend,76,455,76,all
hello_world,76,456,76,all
tha_carter,76,457,38,all
around_peopl,76,458,76,all
can_go,76,459,76,all
bird_bird,76,460,38,all
take_full,76,461,76,all
day_week,76,462,76,all
first_round,76,463,75,all
one_area,76,464,76,all
spent_time,75,465,75,all
budget_cut,75,466,75,all
us_get,75,467,75,all
great_work,75,468,75,all
energi_effici,75,469,75,all
know_go,75,470,75,all
share_last,75,471,75,all
day_just,75,472,75,all
chocol_chip,75,473,75,all
also_use,75,474,75,all
famili_friend,75,475,54,all
past_year,75,476,75,all
time_right,75,477,75,all
street_band,75,478,75,all
like_play,75,479,75,all
bay_area,75,480,50,all
time_someth,74,481,74,all
just_two,74,482,74,all
season_start,74,483,74,all
just_head,74,484,74,all
know_right,74,485,74,all
day_great,74,486,74,all
music_award,74,487,74,all
sound_good,74,488,74,all
know_work,74,489,74,all
cut_piec,74,490,74,all
u_guy,74,491,74,all
place_go,74,492,74,all
one_best,74,493,74,all
pay_attent,74,494,74,all
want_play,74,495,74,all
day_today,74,496,74,all
guy_come,74,497,74,all
top_list,74,498,74,all
old_man,74,499,74,all
stall_stall,74,500,37,all
chris_bosh,74,501,74,all
certain_get,73,502,73,all
said_saw,73,503,73,all
now_can,73,504,73,all
hey_just,73,505,73,all
think_know,73,506,73,all
three_hour,73,507,73,all
top_roll,73,508,73,all
great_week,73,509,73,all
feel_sorri,73,510,73,all
never_heard,73,511,73,all
player_like,73,512,73,all
st_paul,73,513,73,all
just_anoth,73,514,73,all
lose_streak,73,515,73,all
parti_sunday,73,516,73,all
great_deal,73,517,73,all
know_feel,73,518,73,all
just_follow,73,519,73,all
go_bed,73,520,73,all
came_across,73,521,73,all
resid_evil,73,522,41,all
mani_other,73,523,73,all
find_hard,73,524,73,all
year_later,73,525,69,all
elementari_school,73,526,73,all
six_year,73,527,73,all
know_clap,72,528,72,all
cold_ball,72,529,72,all
now_know,72,530,72,all
get_rid,72,531,72,all
tell_truth,72,532,72,all
love_sunday,72,533,72,all
felt_like,72,534,72,all
everi_week,72,535,72,all
counter_counter,72,536,36,all
end_week,72,537,72,all
use_imag,72,538,72,all
ex_partner,72,539,36,all
deal_old,72,540,36,all
lucki_enough,72,541,72,all
border_colli,72,542,24,all
binh_tay,72,543,36,all
three_year,72,544,72,all
just_move,71,545,71,all
hear_thing,71,546,71,all
just_sit,71,547,71,all
social_media,71,548,71,all
needless_say,71,549,71,all
last_name,71,550,71,all
get_get,71,551,45,all
number_peopl,71,552,71,all
within_month,71,553,71,all
show_start,71,554,71,all
thank_love,71,555,71,all
pleas_make,71,556,71,all
time_attend,71,557,71,all
cleveland_cavali,71,558,71,all
well_made,71,559,71,all
hope_can,71,560,71,all
small_town,71,561,51,all
take_account,71,562,71,all
new_jersey,71,563,71,all
great_grandchildren,71,564,71,all
st_charl,71,565,58,all
second_time,70,566,70,all
base_load,70,567,70,all
might_just,70,568,70,all
u_say,70,569,70,all
pleas_come,70,570,70,all
follow_great,70,571,70,all
come_san,70,572,70,all
just_woke,70,573,70,all
email_question,70,574,70,all
want_tranquil,70,575,35,all
old_son,70,576,70,all
school_board,70,577,70,all
well_thank,70,578,70,all
morn_afternoon,70,579,70,all
now_say,70,580,70,all
work_can,70,581,70,all
love_check,70,582,70,all
sweet_potato,70,583,39,all
per_hour,70,584,41,all
now_year,70,585,70,all
second_straight,70,586,70,all
p.m_saturday,70,587,70,all
realli_show,69,588,69,all
nation_anthem,69,589,69,all
got_us,69,590,69,all
alway_tri,69,591,69,all
go_ahead,69,592,69,all
assist_steal,69,593,69,all
want_keep,69,594,69,all
hard_believ,69,595,69,all
best_part,69,596,69,all
show_get,69,597,69,all
day_one,69,598,69,all
much_like,69,599,69,all
around_world,69,600,69,all
babi_girl,69,601,69,all
may_think,69,602,69,all
first_game,69,603,69,all
tell_us,69,604,69,all
go_take,69,605,69,all
enough_time,69,606,52,all
ingredi_togeth,69,607,39,all
everi_two,69,608,69,all
bead_courag,69,609,23,all
squar_feet,69,610,69,all
cuyahoga_counti,69,611,69,all
tax_increas,69,612,69,all
new_one,68,613,68,all
tri_chang,68,614,68,all
talk_lack,68,615,68,all
one_much,68,616,68,all
someon_told,68,617,68,all
need_right,68,618,68,all
junior_seau,68,619,68,all
play_game,68,620,68,all
visit_us,68,621,68,all
lol_rt,68,622,68,all
step_plate,68,623,68,all
like_connect,68,624,68,all
happi_valentin,68,625,68,all
andrew_luck,68,626,68,all
good_just,68,627,68,all
team_member,68,628,68,all
mani_case,68,629,68,all
ever_sinc,68,630,68,all
execut_director,68,631,68,all
news_releas,68,632,68,all
al_qaeda,68,633,34,all
creation_new,68,634,68,all
just_wanna,67,635,67,all
back_old,67,636,67,all
thing_ever,67,637,67,all
u_mean,67,638,67,all
get_spam,67,639,67,all
day_right,67,640,67,all
decid_follow,67,641,67,all
sit_around,67,642,67,all
someth_like,67,643,67,all
tonight_pm,67,644,67,all
sport_medicin,67,645,67,all
need_one,67,646,67,all
feel_bad,67,647,67,all
best_record,67,648,67,all
get_job,67,649,67,all
just_scream,67,650,67,all
nice_young,67,651,67,all
rt_new,67,652,67,all
see_everyon,67,653,67,all
rock_n,67,654,67,all
n_roll,67,655,67,all
follow_love,67,656,67,all
time_make,67,657,67,all
fun_week,67,658,67,all
appl_store,67,659,67,all
seven_day,67,660,67,all
april_2nd,67,661,67,all
peopl_look,67,662,67,all
squar_foot,67,663,67,all
can_say,67,664,67,all
group_brought,67,665,67,all
new_hampshir,67,666,67,all
year_second,67,667,67,all
oregon_state,67,668,43,all
enter_fourth,67,669,67,all
third_quarter,67,670,67,all
get_excit,66,671,66,all
chang_world,66,672,66,all
know_gonna,66,673,66,all
just_name,66,674,66,all
good_work,66,675,66,all
social_network,66,676,66,all
want_list,66,677,66,all
better_though,66,678,66,all
play_30pm,66,679,33,all
trust_instinct,66,680,66,all
come_find,66,681,66,all
new_job,66,682,66,all
standard_test,66,683,66,all
win_game,66,684,66,all
decid_whether,66,685,66,all
realli_need,66,686,66,all
may_june,66,687,66,all
take_littl,66,688,66,all
damag_done,66,689,36,all
year_univers,66,690,33,all
life_threaten,66,691,66,all
said_offici,66,692,66,all
immedi_futur,66,693,66,all
blue_jacket,66,694,33,all
former_massachusett,66,695,66,all
massachusett_governor,66,696,66,all
four_time,66,697,66,all
bill_toronto,66,698,22,all
job_creat,66,699,66,all
even_know,65,700,65,all
come_throw,65,701,65,all
school_year,65,702,65,all
begin_today,65,703,65,all
girl_name,65,704,65,all
twitter_follow,65,705,65,all
pass_now,65,706,65,all
like_ask,65,707,65,all
yeah_know,65,708,65,all
o_meter,65,709,65,all
take_away,65,710,65,all
see_get,65,711,65,all
day_two,65,712,65,all
check_new,65,713,65,all
burton_dark,65,714,65,all
im_still,65,715,65,all
tonight_11pm,65,716,65,all
team_pleas,65,717,65,all
amaz_inspir,65,718,65,all
talk_someth,65,719,65,all
night_someon,65,720,65,all
event_take,65,721,65,all
low_key,65,722,65,all
go_night,65,723,33,all
child_live,65,724,65,all
give_us,65,725,63,all
peopl_think,65,726,65,all
can_see,65,727,63,all
see_can,65,728,65,all
one_way,65,729,65,all
find_support,65,730,65,all
new_rule,65,731,65,all
quit_job,65,732,65,all
miss_six,65,733,65,all
news_confer,65,734,65,all
won_two,65,735,65,all
year_term,65,736,65,all
alway_say,64,737,64,all
school_today,64,738,64,all
start_day,64,739,64,all
go_fast,64,740,64,all
receiv_email,64,741,64,all
